homelat,homelon,homecontinent,n
35.5,139.7,Asia,18
35.5,140.2,Asia,6
35.5,140.3,Asia,4
35.5,140.5,Asia,2

35.6,135.1,Asia,4
35.6,139.3,Asia,2
35.6,139.4,Asia,6
35.6,139.5,Asia,32
35.6,139.6,Asia,16
35.6,139.7,Asia,162
35.6,139.8,Asia,6
35.6,140.1,Asia,234
35.6,140.5,Asia,3

35.7,51.4,Asia,6
35.7,137,Asia,2
35.7,138.6,Asia,4
35.7,139.3,Asia,10
35.7,139.4,Asia,26
35.7,139.5,Asia,53
35.7,139.6,Asia,60
35.7,139.7,Asia,2114
35.7,139.8,Asia,203
35.7,139.9,Asia,33

35.7,140,Asia,28
35.7,140.1,Asia,3
35.7,140.2,Asia,1
35.7,140.5,Asia,33

35.8,51.4,Asia,1
35.8,75,Asia,2
35.8,138.4,Asia,1
35.8,139.4,Asia,4
35.8,139.5,Asia,7
35.8,139.6,Asia,4
35.8,139.7,Asia,7
35.8,139.8,Asia,13
35.8,139.9,Asia,29
35.8,140,Asia,4
35.8,140.1,Asia,1
35.8,140.3,Asia,1

35.9,104.2,Asia,21
35.9,117.9,Asia,2
35.9,127.8,Asia,20
35.9,128.6,Asia,1
35.9,139.4,Asia,4
35.9,139.5,Asia,9
35.9,139.6,Asia,145
35.9,139.7,Asia,4
35.9,139.8,Asia,22
35.9,139.9,Asia,2
35.9,140,Asia,13
35.9,140.2,Asia,2
35.9,140.4,Asia,1
35.9,140.6,Asia,8
35.9,140.7,Asia,3

36,139.6,Asia,8
36,139.8,Asia,1
36,140,Asia,1
36,140.1,Asia,3
36,140.6,Asia,2

36.1,136.2,Asia,13
36.1,137.3,Asia,5
36.1,139.4,Asia,2
36.1,140.2,Asia,1

36.2,44,Asia,2
36.2,138,Asia,1
36.2,138.3,Asia,847
36.2,139.2,Asia,2
36.2,139.4,Asia,1
36.2,139.5,Asia,1

36.3,58.8,Asia,3
36.3,59.6,Asia,3
36.3,136.3,Asia,4
36.3,139,Asia,11
36.3,139.4,Asia,1
36.3,139.8,Asia,4
36.3,140,Asia,7
36.3,140.1,Asia,1
36.3,140.4,Asia,27
36.3,140.6,Asia,9

36.4,136.5,Asia,18
36.4,139.1,Asia,1649
36.4,140.5,Asia,2
